date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:46	65209/65209	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Mar%202025%2017:44:52%20GMT	https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html	D:/mavioooooo/mixdesign.club/themeforest/marvio/index-portfolio-slider.html	(from )
18:30:47	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Apr%202025%2015:30:47%20GMT	https://mixdesign.club/robots.txt		(from )
18:30:48	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Wed,%2019%20Mar%202025%2017:44:52%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/favicon.ico	D:/mavioooooo/mixdesign.club/themeforest/marvio/img/favicon/favicon.ico	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:30:48	1225/1225	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Mar%202025%2017:44:52%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/icon.svg	D:/mavioooooo/mixdesign.club/themeforest/marvio/img/favicon/icon.svg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:30:49	23158/23158	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Mar%202025%2017:44:52%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/apple-touch-icon.png	D:/mavioooooo/mixdesign.club/themeforest/marvio/img/favicon/apple-touch-icon.png	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:30:49	400/400	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2019%20Mar%202025%2017:44:52%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/manifest.webmanifest	D:/mavioooooo/mixdesign.club/themeforest/marvio/img/favicon/manifest.webmanifest	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:30:49	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Apr%202025%2015:30:49%20GMT	http://mixdesign.club/themeforest/marvio/img/favicon/og-image.jpg	D:/mavioooooo/mixdesign.club/themeforest/marvio/img/favicon/og-image.5.delayed	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:30:50	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Apr%202025%2015:30:49%20GMT	http://mixdesign.club/themeforest/marvio/	D:/mavioooooo/mixdesign.club/themeforest/marvio/index.html	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:30:50	6511/6511	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Mar%202025%2017:44:52%20GMT	https://mixdesign.club/themeforest/marvio/css/loaders/loader.css	D:/mavioooooo/mixdesign.club/themeforest/marvio/css/loaders/loader.css	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:30:51	307363/307363	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Mar%202025%2017:44:52%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/og-image.jpg	D:/mavioooooo/mixdesign.club/themeforest/marvio/img/favicon/og-image.jpg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
